,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Contract ID,Date From,Date To,Review Date, Value ,Category,Department,Type,Description,SuppID,Supplier,SupSize,Address 1,Adress 2,Address 3,POC
C663,08/05/2015,30/06/2025,08/05/2020," 366,500.00 ",Construction,Housing & Property,Tender,"Highway Works and Removal at A40 Barton, Oxford",20002930,OXFORDSHIRE COUNTY COUNCIL,LGE,MAIN OFFICE,SHARED SERVICES,"INCOME TEAM, PO BOX 1479",OX4 9AL
C664,30/10/2015,27/08/2018,01/01/2018," 96,500.00 ",Housing Management,Housing & Property,Request For Quotation,Strategy & Implementation of Lease Renewals,20019171,GREEN & PARTNERS,SME,2 GEE'S COURT,ST CHRISTOPHER PLACE,LONDON,WIU 1JA
C667,18/04/2016,31/03/2018,01/08/2016," 105,022.00 ",Consultancy,Regeneration & Housing Directorate,Request For Quotation,Waste Transfer Feasibility Study,20013591,PETER BRETT ASSOCIATES LLP,SME,CAVERSHAM BRIDGE HOUSE,WATERMAN PLACE,READING,RG1 8DN
C669,25/04/2016,24/04/2019,07/01/2019," 1,656,200.00 ",Housing Management,Housing & Property,Official Journal of the European Union,Furnished Tenancy Scheme,20007932,FURNISHED HOMES (UNDERLEY FURNISHINGS) LTD,SME,GREAT WESTERN BUSINESS PARK,ARMSTRONG WAY,YATE,BS37 5NG
C670,13/04/2016,01/04/2018,01/01/2018," 32,400.00 ",Vehicle Management,Community Services,Request For Quotation,Taxi Marshalling Scheme,20016981,SCOPE SECURITY LTD,SME,162 COWLEY ROAD,OXFORD,,OX4 1UE
C673,01/06/2016,31/05/2019,20/05/2017," 500,000.00 ",Construction,Housing & Property,Official Journal of the European Union,Lift Maintenance Contract,20004494,COTSWOLD LIFTS LTD,SME,5 THORPE CLOSE,THORPE WAY INDUSTRIAL ESTATE,BANBURY,OX16 4SW
C674,01/05/2016,30/04/2019,01/01/2018," 19,230.00 ",Information Communication Technology,Financial Services,Request For Quotation,South East Business Portal,20015657,DUE NORTH LIMITED,SME,UNIT 16-17 ENTERPRISE COURT,NELSON INDUSTRIAL ESTATE,CRAMLINGTON,NE23 1LZ
C678,01/05/2016,30/04/2018,01/09/2017," 800,000.00 ",Construction Materials,Direct Services,Framework,Supply of Electrical Materials,20002254,GRAFTON MERCHANTING GB LTD,LGE,"WATLINGTON ROAD, COWLEY, OXFORDSHIRE",,,OX4 6LN
C679,01/06/2016,31/05/2018,01/09/2017," 700,000.00 ",Construction Materials,Direct Services,Framework,Supply of Building Materials,20006342,JEWSON LTD,LGE,"3 LAMARSH ROAD,","OFF BOTLEY ROAD,","OXFORD,",OX2 0HF
C680,01/05/2016,30/04/2018,01/09/2017," 400,000.00 ",Construction Materials,Direct Services,Framework,Supply of Gas Spares,20019236,POWRED HEATING COMPONENTS LTD,SME,"344-346 Cowbridge Road,",East Cardiff,,CF5 1HD
C681,01/06/2016,31/05/2018,01/09/2017," 1,700,000.00 ",Construction Materials,Direct Services,Framework,Supply of Plumbing & Heating Materials,20002464,WOLSELEY UK LIMITED,LGE,"BOTLEY WORKS,","NORTH HINKSEY LANE,","BOTLEY,",OX2 0LS
C682,01/06/2016,31/03/2019,01/01/2017," 25,200.00 ",Information Communication Technology,Business Improvement,Request For Quotation,IT Health Checks,20009269,NTA MONITOR LTD,SME,"13-15 Railway Street,","Chatham,",Kent,ME4 4HU
C684,02/07/2016,31/03/2020,01/07/2017," 130,000.00 ",Consultancy,Housing & Property,,"Architectural Design, Project Development & Management Services for Museum Development",20018107,PURCELL MILLER TRITTON LLP T/A PURCELL,LGE,3 COLEGATE,NORWICH,NORFOLK,NR3 1BN
C685,02/07/2016,31/03/2020,01/01/2017," 22,000.00 ",Consultancy,Housing & Property,Request For Quotation,Museum Designer for The Redevelopment of The Museum of Oxford,20019294,Simon Leach Design,SME,"United House,","39-41 North Road,",London,N7 9DP
C686,04/07/2016,30/06/2017,01/03/2017," 6,000.00 ",Consultancy,Community Services,Request For Quotation,Production of an HLF Business Plan,20019300,Katie Norgrove T/A Cultural Consulting,SME,"7 Yarningale Road, Kings Heath,",Birmingham,,B14 6LT
C687,04/07/2016,30/06/2017,01/03/2017," 3,900.00 ",Consultancy,Community Services,Request For Quotation,Production of an HLF Management and Maintenance Plan,20019300,Katie Norgrove T/A Cultural Consulting,SME,"7 Yarningale Road, Kings Heath,",Birmingham,,B14 6LT
C688,04/07/2016,31/07/2017,01/03/2016," 8,000.00 ",Consultancy,Community Services,Request For Quotation,Fundraising Support for HLF project,20019304,Marilyn Scott,SME,"13 Beech Drive,","Ripley,",Surrey,GU23 6LG
C689,06/06/2016,31/10/2017,01/08/2017," 25,000.00 ",Consultancy,Community Services,Request For Quotation,Provision of Project Management Services,20019305,BELVEDERE PROJECT SOLUTIONS LLP,SME,4 NARROW LANE,WARLINGHAM,SURREY,CR6 9HY
C691,04/07/2016,30/06/2017,01/03/2017," 15,200.00 ",Consultancy,Community Services,Request For Quotation,Production of an HLF Activity Plan,20017380,NATALIE CHAMBERS,SME,3 CHURCHILL ROAD,CHIPPING NORTON,OXON,OX7 5HR
C693,06/06/2016,02/02/2018,01/12/2017," 33,400.00 ",Consultancy,Community Services,Request For Quotation,Community Engagement Co-ordinator,20019317,NEIL STEVENSON,SME,"20 NORTH STREET,","BANBURY,",OXFORDSHIRE,OX16 3LH
C694,01/09/2016,31/08/2019,01/09/2018," 17,500,000.00 ",Human Resources,Business Improvement,Framework,Managed Services for Temporary Agency Resources,20018053,REED SPECIALIST RECRUITMENT LTD,LGE,CALIFORNIA,COOMBE LANE,LONDON,SW20 0BA
C696,01/07/2016,30/06/2017,01/01/2017," 23,000.00 ",Construction,Housing & Property,Request For Quotation,IHS Subscription,20014707,IHS (GLOBAL) LTD,LGE,THE OLD CAPITOL BUILDING,OLDBURY,BRACKNELL,RG12 8FZ
C699,01/08/2016,31/07/2017,01/04/2016," 10,000.00 ",Health & Safety,Business Improvement,Request For Quotation,Personal Safety Training Workshops,20016254,CONFLICT RESOLUTION LTD,SME,1 CROSS LANES CLOSE,CHALFONT ST PETER,BUCKS,SL9 0LS
C700,01/04/2016,31/03/2019,01/04/2018," 350,000.00 ",Health & Safety,Housing & Property,Official Journal of the European Union,"Prevention, Risk Management and Control of Legionella and Associated Works",20013614,SMS ENVIRONMENTAL LIMITED,SME,1-3 CHURCH STREET,THEALE,READING,RG7 5BU
C702,06/10/2015,05/10/2019,05/10/2018," 4,000,000.00 ",Environmental Services,Direct Services,Official Journal of the European Union,"Management & Treatment of Dry Recyclate - Lot 3: Collection of Dry Recyclate, Onward Transport and Treatment",20007990,VIRIDOR WASTE MANAGEMENT,LGE,PO BOX 237,TAUNTON,SOMERSET,TA1 1QU
C703,06/10/2015,05/10/2019,05/10/2018," 400,000.00 ",Environmental Services,Direct Services,Official Journal of the European Union,Management & Treatment of Dry Recyclate - Lot 2: Provision of Transfer Station,20002077,BIFFA MUNICIPAL LTD,LGE,THIRD FLOOR,THE GATEHOUSE,AYLSEBURY,HP19 8DB
C707,30/08/2016,29/08/2017,29/08/2017," 4,259.40 ",Facilities & Management Services,Business Improvement,Framework,Postal Goods and Services - Digital Mailer,20003547,PITNEY BOWES LTD,LGE,PO BOX 4238,THE PINNACLES,HARLOW,CM19 5BD
C708,01/07/2016,30/07/2018,01/01/2018," 54,600.00 ",Facilities & Management Services,Law & Governance,Request For Quotation,Electoral Canvass Forms Printing,20018754,STEPHEN AUSTIN & SONS LTD,SME,CAXTON HILL,WARE ROAD,HERTFORD,SG13 7LU
C709,01/07/2016,30/06/2018,01/01/2018," 18,500.00 ",Facilities & Management Services,Law & Governance,Request For Quotation,Electoral Letters Printing,20010748,ELECTORAL REFORM SERVICES LTD,LGE,THE ELECTION CENTRE,33 CLARENDON ROAD,LONDON,N8 ONW
C713,03/10/2016,01/08/2018,01/06/2018," 60,000.00 ",Information Communication Technology,Senior Management,Request For Quotation,Mobile Canvassing App and Devices 2016-2018,20013927,XPRESS SOFTWARE SOLUTIONS LTD,SME,303 SPERRY WAY,STONEHOUSE BUSINESS PARK,STONEHOUSE,GL10 3UT
C714,01/04/2017,31/03/2022,01/04/2021," 456,153.00 ",Information Communication Technology,Financial Services,Official Journal of the European Union,Corporate Management System - Lot 1 Financial Management System,20008268,UNIT 4 BUSINESS SOFTWARE LTD.,LGE,ST GEORGE HALL,EASTON IN GORDANO,BRISTOL,BS20 0PX
C717,03/10/2016,31/03/2021,01/05/2020," 11,050.00 ",Information Communication Technology,Business Improvement,Framework,Icinger Network Monitoring Support,20018171,SIRIUS CORPORATION LTD,SME,THE COLUMBIA CENTRE,STATION ROAD,BRACKNELL,RG12 1LP
C718,03/10/2016,02/10/2017,01/08/2017," 37,200.00 ",Information Communication Technology,Business Improvement,Framework,Agresso Support Contract (Maternity Cover),20019354,INTEGRA ASSOCIATES,SME,UNITS 7-8 THE COURTYARD,GAULBY LANE,STOUGHTON,LE2 2FL
C720,01/05/2016,01/06/2018,01/06/2018," 80,000.00 ",Consultancy,Housing & Property,Request For Quotation,Architect for Refurbishment Works at Barton Neighbourhood Centre,20008132,ARCADIS LLP,LGE,PO BOX 307,5TH FLOOR ROYAL EXCHANGE,MANCHESTER,M60 3NT
C721,12/10/2016,12/10/2017,01/06/2017," 5,000.00 ",Information Communication Technology,Assistant Chief Executive,Request For Quotation,Web Based Data Visibility Tool,20011846,OXFORD CONSULTANTS FOR SOCIAL INCLUSION LTD,SME,BRIGHTON JUNCTION,1A ISETTA SQUARE,35 NEW ENGLAND STREET,BN1 4GQ
C723,01/01/2017,31/03/2019,01/04/2018," 8,308.43 ",Information Communication Technology,Business Improvement,Request For Quotation,Paris XL Print,20009010,DOCUMENT OUTPUT SOLUTIONS LTD,SME,BUILDING 3,CHISWICK PARK,566 CHISWICK HIGH ROAD,W4 5YA
C726,28/11/2016,27/11/2021,01/01/2018," 64,841.00 ",Facilities & Management Services,Business Improvement,Request For Quotation,Colorwave 700 Printer Solution,20011588,CANON (UK) lTD,LGE,CHATHAM WAY,BRENTWOOD,,CM14 4DZ
C727,02/11/2016,01/01/2018,01/06/2017," 60,000.00 ",Consultancy,Housing & Property,Framework,Cave Street Redevelopment,20002369,RIDGE & PARTNERS LLP,SME,THE COWYARDS,BLENHEIM PARK,OXFORD ROAD,OX20 1QR
C728,16/09/2016,31/10/2017,31/10/2016," 75,000.00 ",Consultancy,Business Improvement,Tender,Evaluation Of Future Operating Structures For Oxford City Council's Direct Services (Phase One) and Implementation (Phase Two),20018486,GRANT THORNTON UK LLP,SME,GRANT THORNTON HOUSE,MELTON STREET,LONDON,NW1 2EP
C732,26/10/2016,25/10/2021,25/04/2019," 62,370.00 ",Facilities & Management Services,Business Improvement,Request For Quotation,Provision of Lone Worker Monitoring Service,20019405,ROCKSURE SYSTEMS LTD,SME,"MOMENTUM HOUSE, CARRERA COURT",CHURCH LANE,DINNINGTON,S25 2RG
C735,01/12/2016,30/11/2018,01/06/2018," 11,520.00 ",Information Communication Technology,Business Improvement,Framework,Intranet Site Maintenance and Support,20018572,AGILE COLLECTIVE LTD,SME,16 STANDINGFORD HOUSE,26 CAVE STREET,OXFORD,OX4 1BA
C736,01/12/2016,30/11/2018,01/06/2018," 12,000.00 ",Information Communication Technology,Business Improvement,Framework,"Support and Maintenance of Three LAMP Servers (Dev, DB and Live)",20018171,SIRIUS CORPORATION LTD,SME,THE COLUMBIA CENTRE,STATION ROAD,BRACKNELL,RG12 1LP
C740,01/04/2017,31/03/2020,01/07/2019," 455,763.36 ",Information Communication Technology,Business Improvement,Framework,Microsoft Software License Agreement,20019420,KENT COUNTY SUPPLIES,SME,FINANCE DEPARTMENT HEAD OFFICE,1 ABBEY WOOD ROAD,KINGS HILL,ME19 4YT
C741,01/10/2016,30/09/2020,01/01/2020," 300,000.00 ",Consultancy,Housing & Property,Framework,East Oxford Community Centre Building Services,20013684,ATKINS LIMITED,SME,ATKINS SHARED SERVICE FACILITY,PO BOX 329 KINGS COURT,CHARLES HASTINGS WAY,WR5 1TX
C742,01/03/2017,28/02/2021,01/04/2020," 200,000.00 ",Facilities & Management Services,Business Improvement,Framework,Photocopiers & Multifunctional Products and Services,20018722,SHARP BUSINESS SYSTEMS UK PLC,LGE,NORTHERN HOUSE,MOOR KNOLL LANE,EAST ARDSLEY WAKEFIELD,WF3 2EE
C743,21/12/2016,31/07/2017,31/07/2017," 50,000.00 ",Consultancy,Financial Services,Request For Quotation,Consultancy Services to Support an Agresso Milestone 6 Upgrade,20019354,INTEGRA ASSOCIATES,SME,UNITS 7-8 THE COURTYARD,GAULBY LANE,STOUGHTON,LE2 2FL
C745,01/11/2016,31/10/2019,01/11/2018," 54,000.00 ",Legal Services,Law & Governance,Request For Quotation,Online Legal Research Materials including Westlaw and Practical Law,20012030,THOMSON REUTERS (PROFESSIONAL) UK LTD,SME,SUBSCRIPTIONS DEPARTMENT,19 HATFIELDS,LONDON,SE1 8DJ
C748,25/10/2016,24/10/2019,01/01/2019," 25,000.00 ",Consultancy,Regeneration & Housing Directorate,Request For Quotation,Oxford Footfall and Sales Data,20019433,MACQUARIE EQUIPMENT FINANCE (UK) LTD,LGE,ROPEMAKER PLACE,28 ROPEMAKER STREET,LONDON,EC2Y 9HD
C755,17/10/2016,16/10/2017,01/07/2017," 45,333.00 ",Consultancy,Planning & Regulatory,Request For Quotation,"Landscape Planning and Design Input, South Oxford Urban Extension",20019457,ENVIRONMENTAL DIMENSION PARTNERSHIP LTD,SME,TITHE BARN,BARNSLEY PARK ESTATE,BARNSLEY,GL7 5EG
C756,25/01/2017,24/01/2018,24/01/2018," 24,000.00 ",Human Resources,Business Improvement,Request For Quotation,Investors in People Assessment,20018486,GRANT THORNTON UK LLP,SME,GRANT THORNTON HOUSE,MELTON STREET,LONDON,NW1 2EP
C757,26/01/2017,25/01/2020,01/09/2019," 19,800.00 ",Consultancy,Financial Services,Request For Quotation,Business Rates Agent Services,20009121,WILKS HEAD & EVE,SME,THIRD FLOOR,NEWLANDS HOUSE,40 BERNERS STREET,W1T 3NA
C758,01/09/2015,31/08/2019,01/01/2019," 28,000.00 ",Legal Services,Law & Governance,Framework,Legal Services Framework,20019166,BERWIN LEIGHTON PAISNER LLP,LGE,ADELAIDE HOUSE,LONDON BRIDGE,LONDON,EC4R 9HA
C759,01/11/2016,01/11/2019,01/01/2019," 225,000.00 ",Vehicle Management,Direct Services,Framework,Suply of Vehicle Tyres,20017042,BANDVULC TRUCK TYRES,SME,GILLARD WAY,LEE MILL IND EST,IVYBRIDGE,PL21 9LN
C760,01/09/2016,31/08/2020,01/01/2020," 2,600,000.00 ",Construction,Direct Services,Official Journal of the European Union,Supply of Civil Engineering Plant & Labour,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED,SME,"UNIT 7, SWANNYBROOK FARM",KINGSTON BAGPUIZE,ABINGDON,OX13 5NE
C763,17/01/2017,16/01/2018,01/04/2017," 66,307.86 ",Utilities,Community Services Directorate,Request For Quotation,Upgrade Electrically Heated Council Homes to Gas Central Heating - Phase 2,20019296,SGN Connections,LGE,"Billing & Credit Department,","PO Box 609,",Horley,RH6 9HJ
C764,15/12/2016,19/12/2017,01/12/2017," 30,000.00 ",Consultancy,Assistant Chief Executive,Request For Quotation,"Project Management, Planning and Delivery Services for The Smart Oxford Competition",20019473,WATERSHED ARTS TRUST LTD,SME,1 CANONS ROAD,BRISTOL,,BS1 3BA
C765,27/01/2017,26/01/2018,01/09/2017," 7,620.00 ",Information Communication Technology,Business Improvement,Request For Quotation,Marketing Data and Software - Mosaic,20009660,EXPERIAN LTD,SME,SIR JOHN PEACE BUILDING,EXPERIAN WAY,NG2 BUSINESS PARK,NG80 1ZZ
C766,01/10/2016,30/09/2018,01/01/2018," 164,000.00 ",Housing Management,Housing & Property,Request For Quotation,Independant Housing Advice,20013694,SHELTER,SME,HEAD OFFICE,88 OLD STREET,LONDON,EC1V 9HU
C767,01/04/2016,30/09/2017,31/05/2017," 50,000.00 ",Social Community Care,Housing & Property,Request For Quotation,Warden Call,20016184,COMMUNITY VOICE LTD,SME,UNIT 17 HARDMANS,BUSINESS CENTRE,NEW HALL HEY RD,BB4 6HH
C768,01/04/2016,31/03/2018,30/09/2017," 30,000.00 ",Social Community Care,Housing & Property,Request For Quotation,Warden Call,20000293,TUNSTALL HEALTHCARE (UK) LIMITED,LGE,WHITLEY LODGE,WHITLEY BRIDGE,YORKSHIRE,DN14 0HR
C769,01/04/2017,31/03/2019,31/05/2018," 22,000.00 ",Facilities & Management Services,Community Services,Request For Quotation,CCTV Maintenance,20014935,COMPUTERISED & DIGITAL SECURITY SYSTEMS LTD,SME,PENBWCH ISAF FARM,PENYCOEDCAE ROAD,PONTYPRIDD,CF37 1PU
C775,01/09/2015,31/08/2019,01/01/2019," 28,000.00 ",Legal Services,Law & Governance,Framework,Legal Services Framework,20019488,DENTONS UKMEA LLP,LGE,ONE FLEET PLACE,LONDON,,EC4M 7WS
C776,20/02/2017,19/02/2020,01/09/2018," 80,000.00 ",Horticultural,Direct Services,Request For Quotation,Provision of Floral Planters and Displays,20018778,WINDOWFLOWERS LTD,SME,GROVE ROAD,BURNHAM,SLOUGH,SL1 8DT
C777,20/02/2017,17/02/2020,01/09/2019," 35,000.00 ",Horticultural,Direct Services,Request For Quotation,Provision of Summer Bedding Plants,20009183,FRESH ACRES NURSERIES LTD,SME,YAPTON LANE,WALBERTON,ARUNDEL,BN18 0AS
C778,02/12/2016,01/12/2019,01/01/2019," 40,191.00 ",Information Communication Technology,Financial Services,Request For Quotation,Paris Payments System,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD,LGE,NORTHGATE INFORMATION SOLUTIONS,"PEOPLEBUILDING 2, PEOPLEBUILDING ESTATE","MAYLANDS AVENUE, HEMEL HEMPSTEAD",HP2 4NW
C779,01/09/2016,31/08/2017,01/05/2017," 60,034.51 ",Facilities & Management Services,Direct Services,Request For Quotation,Oxpens Car Park Security Services,20002120,OCS GROUP UK LTD T/A CANNON,LGE,NORTHGATE HOUSE,"NORTHGATE, WHITE LUND",MORECAMBE,LA3 3BJ
C781,26/01/2017,30/06/2017,01/05/2017," 50,000.00 ",Human Resources,Assistant Chief Executive,Request For Quotation,Interim Communications Manager,20016203,PENNA PLC,SME,3RD FLOOR,5 FLEET PLACE,LONDON,EC4M 7RD
C782,01/03/2017,31/12/2017,31/12/2017," 15,000.00 ",Public Transport,Community Services,Request For Quotation,Safeguarding Training for Drivers and Escorts,20002930,OXFORDSHIRE COUNTY COUNCIL,LGE,MAIN OFFICE,SHARED SERVICES,"INCOME TEAM, PO BOX 1479",OX4 9AL
C787,01/02/2017,31/07/2017,01/07/2017," 46,500.00 ",Consultancy,Housing & Property,Framework,Development Viability Advice - Phase 1,20011405,JONES LANG LASALLE,SME,CITY POINT,29 KINGS STREET,LEEDS,LS1 2HL
C788,23/12/2017,31/12/2019,31/12/2019," 66,795.00 ",Community Groups,Financial Services,Request For Quotation,Building Better Opportunities,20019515,SOUTH OXFORDSHIRE FOOD & EDUCATION ALLIANCE,SME,1E TRIDENT BUSINESS PARK,DIDCOT,OXON,OX11 7HJ
C790,01/02/2017,31/01/2020,01/09/2019," 90,000.00 ",Facilities & Management Services,Law & Governance,Request For Quotation,Provision of Poll Cards,20010748,ELECTORAL REFORM SERVICES LTD,LGE,THE ELECTION CENTRE,33 CLARENDON ROAD,LONDON,N8 ONW
C791,01/02/2017,31/01/2020,01/09/2019," 13,000.00 ",Facilities & Management Services,Law & Governance,Request For Quotation,Provision of Postal Vote Packs,20010748,ELECTORAL REFORM SERVICES LTD,LGE,THE ELECTION CENTRE,33 CLARENDON ROAD,LONDON,N8 ONW
C792,01/02/2017,31/01/2020,01/09/2019," 12,300.00 ",Facilities & Management Services,Law & Governance,Request For Quotation,Provision of Ballot Papers,20018754,STEPHEN AUSTIN & SONS LTD,SME,CAXTON HILL,WARE ROAD,HERTFORD,SG13 7LU
C794,11/01/2017,31/12/2019,31/12/2019," 44,650.00 ",Social Community Care,Financial Services,Request For Quotation,Building Better Opportunities,20019528,BASE 33 YOUTH CHARITY,SME,4 WELCH WAY,WITNEY,OXON,OX28 7JF
C795,19/01/2017,31/12/2019,31/12/2019," 69,271.00 ",Social Community Care,Financial Services,Request For Quotation,Building Better Opportunities,20019527,BYHP,,2 CHANDOS CLOSE,BANBURY,OXON,OX16 4TL
C796,19/01/2017,31/12/2019,31/12/2019," 47,544.00 ",Social Community Care,Financial Services,Request For Quotation,Building Better Opportunities,20019529,SYNOLOS CIC,,152B CORN STREET,WITNEY,OXON,OX28 6BY
C797,01/10/2015,30/09/2025,01/01/2020," 455,000.00 ",Housing Management,Housing & Property,Official Journal of the European Union,Homelessness Property Investment - Real Lettings Initiative,20019143,ST MUNGOS,LGE,FLOOR 2,GRIFFIN HOUSE,161 HAMMERSMITH ROAD,W6 8BS
C798,31/01/2017,31/03/2018,31/03/2018," 50,000.00 ",Social Community Care,OD & Corporate Services Directorate,Request For Quotation,ESF Community Grants,20019535,STARTUPONLINE,SME,BICESTER INNOVATION CENTRE,UNIT 4E,TELFORD ROAD,OX26 7LD
C799,06/03/2017,05/03/2018,01/01/2018," 11,019.00 ",Consultancy,Planning & Regulatory,Request For Quotation,Green Belt Assessment,20008848,LAND USE CONSULTANTS,SME,43 CHALTON ST,LONDON,,NW1 1JD
C801,31/10/2016,30/06/2017,30/06/2017," 132,000.00 ",Consultancy,Planning & Regulatory,Request For Quotation,Planning Advice and Related Services in Relation to the Proposed Development of the South Oxford Urban Extension,20008805,SAVILLS (L & P ) LIMITED,LGE,UNEX HOUSE,132-134 HILLS ROAD,CAMBRIDGE,CB2 2PA
C802,01/04/2017,31/03/2019,01/01/2019," 22,600.00 ",Information Communication Technology,Business Improvement,Framework,HMO Online Licence Applications and Renewals,20019542,ROCKTIME LTD,SME,15 FACTORY ROAD,UPTON,POOLE,BH16 5SN
C803,01/06/2017,31/05/2019,01/02/2019," 212,266.00 ",Financial Services,Financial Services,Framework,Electronic Payment Services Lot 1 – Multiple Network Managed Service,20019546,ALLPAY,LGE,FORTIS ET FIDES,WHITESTONE BUSINESS PARK,WHITESTONE,HR1 3SE
C804,20/12/2012,19/12/2020,19/12/2018," 64,000.00 ",Housing Management,Housing & Property,Request For Quotation,Estate Management Agreement - Agricultural Portfolio,20017937,FISHER GERMAN LLP,SME,40 HIGH STREET,MARKET HARBOROUGH,LEICESTERSHIRE,LE16 7NX
C805,31/03/2017,30/06/2017,30/06/2017," 80,360.63 ",Construction,Housing & Property,Request For Quotation,Safe Roof Access Measures at Oxford Covered Market,20017269,CROFT BUILDING & CONSERVATION LTD,SME,"UNIT 7, HEMLOCK PARK",HYSSOP CLOSE,CANNOCK,WS11 7FB
C807,30/01/2017,31/12/2019,31/12/2019," 7,200.00 ",Social Community Care,Financial Services,Request For Quotation,Building Better Opportunities,20019551,ACE TRAINING & CONSULTANCY LTD,SME,15A STATION FIELD IND. ESTATE,KIDLINGTON,OXFORD,OX5 1JD
C808,01/04/2017,31/03/2019,01/01/2019," 26,112.90 ",Information Communication Technology,Business Improvement,Framework,Network Services Agreement RM1045,20008028,VODAFONE LIMITED (CORPORATE),LGE,PO BOX 5583,NEWBURY,BERKSHIRE,RG14 5FF
C810,01/09/2015,31/08/2019,01/01/2019," 28,000.00 ",Legal Services,Law & Governance,Framework,Legal Services Framework,20019567,BEVAN BRITTAN LLP,LGE,KINGS ORCHARD,1 QUEEN STREET,BRISTOL,BS2 0HQ
C813,27/04/2017,31/03/2018,31/03/2018," 33,000.00 ",Information Communication Technology,Business Improvement,Request For Quotation,Supply of Data Centre Hardware,20019579,F15 TECHNOLOGY LTD T/A 4NETWORKS.CO.UK,SME,BLADES ENTERPRISE CENTRE,JOHN STREET,SHEFFIELD,S2 4SW
C814,01/04/2017,31/03/2020,01/09/2019," 75,000.00 ",Consultancy,Financial Services,Request For Quotation,Maximise Business Rates Income and Forecast Potential Loss of Income Due to Appeals,20018085,INFORM CPI LTD,SME,5-10 Bolton Street,London,,W1J 8BA
C815,01/10/2016,30/09/2020,01/01/2020," 46,250.00 ",Construction,Direct Services,Request For Quotation,Disposal of Spoil / Inert (Cat A) Waste Service,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD,SME,KNIGHTSBRIDGE FARM,YARNTON,OXFORD,OX5 1PH
C816,31/10/2016,30/06/2017,30/06/2017," 225,000.00 ",Consultancy,Planning & Regulatory,Official Journal of the European Union,Provision of Transport and Infrastructure Services - Grenoble Road,20013591,PETER BRETT ASSOCIATES LLP,SME,CAVERSHAM BRIDGE HOUSE,WATERMAN PLACE,READING,RG1 8DN
C817,01/04/2017,31/03/2018,01/03/2018," 5,728.66 ",Facilities & Management Services,Direct Services,Request For Quotation,Remote Site Monitoring Services - Horspath,20015721,UNIPART SECURITY SOLUTIONS LTD,SME,CAVALRY HILL INDUSTRIAL PARK,WEEDON,NORTHAMPTONSHIRE,NN7 4PP
C818,01/04/2017,31/03/2020,01/04/2018," 185,000.00 ",Information Communication Technology,Business Improvement,Official Journal of the European Union,Supply and Maintenance of a Commercial and Domestic Recycling and Waste Management System,20019582,BARTEC AUDIO ID LTD,SME,UNIT 9,REDBROOK BUSINESS PARK,WILTHORPE ROAD,S75 1JN
C820,01/04/2016,31/03/2019,01/09/2018," 23,137.80 ",Information Communication Technology,Business Improvement,Request For Quotation,"Historic Buildings, Sites and Monuments Record Software",20009966,EXEGESIS SDM LTD,SME,GREAT HOUSE BARN,NEW STREET,TALGARTH,LD3 0AH
C821,02/01/2017,01/01/2019,01/08/2018," 80,000.00 ",Construction,Housing & Property,Request For Quotation,Communal Entrance Doors and Maintenance,20019471,WARRIOR DOORS LTD,SME,UNIT 4,KINGS ROAD INDUSTRIAL ESTATE,,B11 2AX
C822,01/04/2017,31/03/2020,01/09/2019," 125,000.00 ",Arts & Leisure Services,Community Services,Tender,"The Design, Supply & Installation of Christmas Lights",20016382,BLACHERE ILLUMINATION,SME,GLADSTONE PLACE,LADYBANK,FIFE,KY15 7LB
C823,19/05/2017,19/11/2017,01/09/2017," 90,000.00 ",Utilities,Community Services Directorate,Request For Quotation,Installation of Energy Efficiency Measures Under ECO3,20007269,E.ON,LGE,PO BOX 123,NOTTINGHAM,,NG1 6HD
C824,19/05/2017,31/12/2017,31/12/2017," 19,400.00 ",Consultancy,Housing & Property,Request For Quotation,East Oxford Community Centre - BIM,20013684,ATKINS LIMITED,SME,ATKINS SHARED SERVICE FACILITY,PO BOX 329 KINGS COURT,CHARLES HASTINGS WAY,WR5 1TX
C825,19/05/2017,18/05/2020,01/01/2020," 3,585.00 ",Facilities & Management Services,Direct Services,Request For Quotation,CCTV and Access Control Maintenance - Horspath Rd,20009896,VISION SECURE LIMITED,SME,47 HATHERALL CLOSE,STRATTON,SWINDON,SN3 4LQ
C826,25/04/2017,31/12/2017,01/10/2017," 27,000.00 ",Consultancy,Financial Services,Request For Quotation,Consultancy Services to Support the Implementation of a New Trading Company,20019354,INTEGRA ASSOCIATES,SME,UNITS 7-8 THE COURTYARD,GAULBY LANE,STOUGHTON,LE2 2FL
C827,01/06/2017,31/07/2017,31/07/2017," 20,000.00 ",Construction,Housing & Property,Request For Quotation,Car Park Lighting at Court Place Farm Recreation Ground,20019602,SMART ELECTRONIC TECHNOLOGIES LTD,SME,T/A ENERGY SAVING LIGHTING,STABLEWAY NORTH STREET,WINKFIELD,SL4 4SY
C828,17/03/2017,15/09/2017,15/09/2017," 60,000.00 ",Human Resources,Assistant Chief Executive,Request For Quotation,Interim Communications Manager,20016203,PENNA PLC,SME,3RD FLOOR,5 FLEET PLACE,LONDON,EC4M 7RD
